Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won
Eliezer Mayenda,12.0,es ESP,FW,19-136,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.03333333333333333,0.05555555555555555,0.6666666666666666,0.0,0.05555555555555555,0.011111111111111112,0.03333333333333333,0.011111111111111112,0.0,0.0,0.022222222222222223
Romaine Mundle,14.0,eng ENG,LW,21-150,90,0.0,0.0,0.0,0.0,0.022222222222222223,0.011111111111111112,0.0,0.0,0.5888888888888889,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.0022222222222222222,0.0022222222222222222,0.0,0.03333333333333333,0.0,0.25555555555555554,0.36666666666666664,0.7744444444444445,0.044444444444444446,0.34444444444444444,0.06666666666666667,0.06666666666666667,0.022222222222222223,0.0,0.022222222222222223,0.03333333333333333
Patrick Roberts,10.0,eng ENG,RW,27-229,80,0.0,0.0,0.0,0.0,0.0375,0.0,0.0125,0.0,0.575,0.0125,0.0375,0.0,0.00125,0.00125,0.0,0.0375,0.0125,0.3875,0.4625,1.0474999999999999,0.0625,0.35,0.025,0.075,0.0375,0.0,0.0,0.0
Wilson Isidor,18.0,fr FRA,RW,24-025,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,10.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Chris Rigg,11.0,eng ENG,AM,17-095,89,0.011235955056179775,0.0,0.0,0.0,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.0,0.3707865168539326,0.0449438202247191,0.011235955056179775,0.011235955056179775,0.008988764044943821,0.008988764044943821,0.0,0.011235955056179775,0.011235955056179775,0.19101123595505617,0.2247191011235955,0.9550561797752809,0.02247191011235955,0.15730337078651685,0.033707865168539325,0.033707865168539325,0.011235955056179775,0.0,0.02247191011235955,0.011235955056179775
Daniel Ballard,5.0,nir NIR,AM,24-365,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jobe Bellingham,7.0,eng ENG,DM,18-364,90,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.5888888888888889,0.022222222222222223,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.044444444444444446,0.0,0.35555555555555557,0.4111111111111111,0.9611111111111111,0.03333333333333333,0.2777777777777778,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.0,0.011111111111111112,0.03333333333333333
Daniel Neil,4.0,eng ENG,DM,23-056,90,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.5,0.0,0.022222222222222223,0.011111111111111112,0.0,0.0,0.0,0.022222222222222223,0.0,0.36666666666666664,0.4,1.018888888888889,0.03333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Cirkin,3.0,eng ENG,LB,22-168,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.06666666666666667,0.03333333333333333,0.044444444444444446,0.0,0.0,0.0,0.022222222222222223,0.0,0.26666666666666666,0.37777777777777777,0.7844444444444444,0.011111111111111112,0.23333333333333334,0.011111111111111112,0.03333333333333333,0.011111111111111112,0.0,0.022222222222222223,0.011111111111111112
Luke O'Nien,13.0,eng ENG,CB,29-305,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4888888888888889,0.5666666666666667,0.9588888888888889,0.011111111111111112,0.3,0.011111111111111112,0.011111111111111112,0.0,0.0,0.0,0.03333333333333333
Chris Mepham,26.0,wls WAL,CB,26-321,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4888888888888889,0.0,0.0,0.03333333333333333,0.0,0.0,0.0011111111111111111,0.011111111111111112,0.0,0.3333333333333333,0.4,0.9255555555555556,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
Trai Hume,32.0,nir NIR,RB,22-187,90,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.011111111111111112,0.0,0.6333333333333333,0.011111111111111112,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.4888888888888889,0.5444444444444444,0.9977777777777778,0.03333333333333333,0.2,0.0,0.0,0.0,0.0,0.011111111111111112,0.011111111111111112
Anthony Patterson,1.0,eng ENG,GK,24-134,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24444444444444444,0.37777777777777777,0.7188888888888889,0.0,0.23333333333333334,0.0,0.0,0.0,0.011111111111111112,0.0,0.0
