Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won
Eliezer Mayenda,12.0,es ESP,FW,19-094,71,0,0,0,0,4,2,0,0,13,0,0,0,0.6,0.6,0.0,2,0,2,3,66.7,0,9,2,2,0,0,1,0
Nazariy Rusyn,15.0,ua UKR,FW,25-290,19,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,0,1,0
Jack Clarke,20.0,eng ENG,LW,23-261,89,1,0,0,0,2,1,0,0,36,2,0,0,0.1,0.1,0.2,5,0,21,28,75.0,2,23,5,3,2,0,0,2
Romaine Mundle,14.0,eng ENG,LW,21-108,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0,0,0,0
Patrick Roberts,10.0,eng ENG,RW,27-187,76,0,0,0,0,0,0,0,0,32,1,0,1,0.0,0.0,0.1,3,1,19,28,67.9,4,21,3,1,1,0,0,0
Chris Rigg,11.0,eng ENG,RW,17-053,14,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,2,1,5,6,83.3,1,3,1,1,1,0,0,0
Jobe Bellingham,7.0,eng ENG,AM,18-322,90,0,1,0,0,1,0,0,0,41,4,1,2,0.0,0.0,0.5,4,1,23,27,85.2,2,22,3,1,1,0,1,2
Daniel Neil,4.0,eng ENG,DM,23-014,90,0,0,0,0,0,0,0,0,43,3,2,0,0.0,0.0,0.0,1,0,24,28,85.7,5,25,0,3,0,0,2,2
Alan Browne,8.0,ie IRL,DM,29-117,90,0,0,0,0,1,0,0,0,37,1,0,0,0.1,0.1,0.1,1,0,22,28,78.6,2,25,1,1,0,0,0,1
Dennis Cirkin,3.0,eng ENG,LB,22-126,90,0,1,0,0,2,0,0,0,61,2,4,2,0.1,0.1,0.9,1,1,34,45,75.6,3,32,1,6,3,0,0,1
Ajibola Alese,42.0,eng ENG,CB,23-206,90,0,0,0,0,0,0,1,0,45,0,0,2,0.0,0.0,0.0,0,0,36,41,87.8,0,35,0,0,0,0,1,0
Luke O'Nien,13.0,eng ENG,CB,29-263,90,1,0,0,0,1,1,0,0,49,0,2,1,0.9,0.9,0.0,0,0,31,39,79.5,3,26,0,0,0,0,1,1
Trai Hume,32.0,nir NIR,RB,22-145,90,0,0,0,0,0,0,1,0,46,2,2,1,0.0,0.0,0.1,2,0,30,36,83.3,6,28,4,0,0,0,1,1
Anthony Patterson,1.0,eng ENG,GK,24-092,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,1,0,26,38,68.4,0,27,0,0,0,4,0,0
