Player,#,Nation,Pos,Age,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won,Matchday
Wilson Isidor,18.0,fr FRA,FW,24-088,0.0,0,0,0,2.0,1.0,0.0,0,17.0,4.0,0.0,0,0.2,0.2,0.2,2.0,0.0,5.0,9.0,55.6,1,6.0,0.0,3.0,1,0,1.0,0.0,16
Tom Watson,40.0,eng ENG,LW,18-229,0.0,0,0,0,1.0,1.0,0.0,0,27.0,2.0,1.0,2,0.0,0.0,0.0,2.0,0.0,9.0,12.999999999999998,69.2,1,12.999999999999998,3.0,5.0,3,0,2.0,2.0,16
Eliezer Mayenda,12.0,es ESP,RW,19-199,0.0,0,0,0,1.0,1.0,0.0,0,27.0,1.0,0.0,2,0.0,0.0,0.2,5.0,0.0,11.0,12.999999999999998,84.6,4,17.0,4.0,4.0,2,0,2.0,0.0,16
Aaron Connolly,24.0,ie IRL,AM,24-300,1.5789473684210527,0,0,0,1.5789473684210527,1.5789473684210527,0.0,0,18.94736842105263,1.5789473684210527,0.0,0,0.15789473684210525,0.15789473684210525,0.0,1.5789473684210527,1.5789473684210527,3.1578947368421053,9.473684210526315,52.57894736842105,0,11.052631578947368,0.0,0.0,0,0,1.5789473684210527,3.1578947368421053,16
Milan Aleksić,30.0,rs SRB,AM,19-085,0.0,0,0,0,2.7272727272727275,2.7272727272727275,2.7272727272727275,0,43.63636363636364,0.0,2.7272727272727275,0,0.5454545454545454,0.5454545454545454,0.0,0.0,0.0,10.90909090909091,16.363636363636363,181.90909090909093,0,24.545454545454543,5.454545454545455,5.454545454545455,0,0,2.7272727272727275,0.0,16
Daniel Neil,4.0,eng ENG,DM,23-119,0.0,0,0,0,2.0,0.0,0.0,0,36.0,3.0,0.0,1,0.1,0.1,0.0,2.0,0.0,23.0,25.999999999999996,88.5,4,14.0,2.0,1.0,1,0,2.0,0.0,16
Chris Rigg,11.0,eng ENG,DM,17-158,0.0,0,0,0,0.0,0.0,0.0,0,45.0,0.0,0.0,1,0.0,0.0,0.1,4.0,1.0,17.0,34.0,50.0,4,23.0,3.0,0.0,0,0,2.0,2.0,16
Ajibola Alese,42.0,eng ENG,LB,23-311,0.0,0,0,0,1.0,1.0,0.0,0,42.0,1.0,3.0,0,0.3,0.3,0.0,0.0,0.0,12.999999999999998,25.0,51.99999999999999,2,11.0,1.0,0.0,0,0,1.0,1.0,16
Daniel Ballard,5.0,nir NIR,CB,25-062,0.0,0,0,0,0.0,0.0,0.0,0,53.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,34.0,44.0,77.3,3,20.0,1.0,0.0,0,0,0.0,2.0,16
Chris Mepham,26.0,wls WAL,CB,27-018,0.0,0,0,0,0.0,0.0,1.0,0,45.0,1.0,1.0,2,0.0,0.0,0.0,0.0,0.0,25.999999999999996,32.0,81.3,3,17.0,1.0,1.0,1,0,3.0,1.0,16
Luke O'Nien,13.0,eng ENG,RB,30-002,0.0,0,0,0,0.0,0.0,0.0,0,43.0,1.0,0.0,0,0.0,0.0,0.1,2.0,0.0,25.999999999999996,40.0,65.0,5,16.0,1.0,1.0,1,0,1.0,3.0,16
Anthony Patterson,1.0,eng ENG,GK,24-197,0.0,0,0,0,0.0,0.0,0.0,0,33.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.0,32.0,37.5,0,16.0,0.0,0.0,0,4,0.0,1.0,16
