Player,#,Nation,Pos,Age,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won,Matchday
Wilson Isidor,18.0,fr FRA,FW,24-067,0,0,0,0,4.044943820224719,1.0112359550561798,0,0.0,19.213483146067414,0.0,0.0,1.0112359550561798,0.8089887640449439,0.8089887640449439,0.0,0.0,0,6.067415730337078,8.089887640449438,75.84269662921348,0.0,11.123595505617978,1.0112359550561798,1.0112359550561798,0,0,0.0,0.0,13
Leo Fuhr Hjelde,33.0,no NOR,FW,21-068,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,13
Romaine Mundle,14.0,eng ENG,LW,21-192,0,0,0,0,0.0,0.0,0,0.0,40.0,1.4285714285714284,2.8571428571428568,4.285714285714286,0.0,0.0,0.0,1.4285714285714284,0,15.714285714285714,25.71428571428571,87.28571428571429,2.8571428571428568,22.857142857142854,2.8571428571428568,1.4285714285714284,0,0,4.285714285714286,0.0,13
Aaron Connolly,24.0,ie IRL,LW,24-279,0,0,0,0,0.0,0.0,0,0.0,13.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,6.666666666666666,0.0,3.333333333333333,0,0,3.333333333333333,6.666666666666666,13
Patrick Roberts,10.0,eng ENG,RW,27-271,0,0,0,0,1.0,0.0,1,0.0,44.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0,19.0,29.000000000000004,65.5,4.0,25.0,0.0,4.0,0,0,2.0,1.0,13
Alan Browne,8.0,ie IRL,AM,29-201,0,0,0,0,0.0,0.0,0,0.0,34.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0,20.0,25.999999999999996,76.9,2.0,16.0,3.0,2.0,1,0,0.0,1.0,13
Jobe Bellingham,7.0,eng ENG,DM,19-040,0,0,0,0,0.0,0.0,0,1.5789473684210527,52.10526315789474,0.0,0.0,1.5789473684210527,0.0,0.0,0.0,3.1578947368421053,0,31.57894736842105,33.1578947368421,150.31578947368422,0.0,28.421052631578945,1.5789473684210527,0.0,0,0,3.1578947368421053,0.0,13
Daniel Neil,4.0,eng ENG,DM,23-098,0,0,0,0,1.0,0.0,0,0.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0,32.0,39.0,82.1,8.0,25.999999999999996,1.0,2.0,0,0,0.0,3.0,13
Dennis Cirkin,3.0,eng ENG,LB,22-210,0,0,0,0,0.0,0.0,0,0.0,44.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0,22.0,35.0,62.9,0.0,12.0,1.0,0.0,0,0,2.0,2.0,13
Luke O'Nien,13.0,eng ENG,CB,29-347,0,0,0,0,0.0,0.0,0,0.0,61.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0,43.0,55.00000000000001,78.2,2.0,31.0,0.0,0.0,0,0,0.0,1.0,13
Chris Mepham,26.0,wls WAL,CB,26-363,0,0,0,0,0.0,0.0,0,0.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,30.0,35.0,85.7,2.0,18.0,0.0,0.0,0,0,0.0,2.0,13
Trai Hume,32.0,nir NIR,RB,22-229,0,0,0,0,2.0,0.0,0,0.0,66.0,2.0,0.0,0.0,0.1,0.1,0.2,3.0,0,38.0,56.0,67.9,4.0,23.0,2.0,0.0,0,0,0.0,0.0,13
Simon Moore,21.0,eng ENG,GK,34-167,0,0,0,0,0.0,0.0,1,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.0,38.0,57.9,0.0,15.0,0.0,0.0,0,3,0.0,0.0,13
