Player,#,Nation,Pos,Age,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won,Matchday
Wilson Isidor,18.0,fr FRA,FW,24-032,1.2328767123287672,0.0,0.0,0.0,3.698630136986301,1.2328767123287672,0.0,0.0,18.493150684931507,0.0,0.0,0.0,0.4931506849315069,0.4931506849315069,0.0,1.2328767123287672,0.0,8.63013698630137,12.32876712328767,86.30136986301369,0.0,14.794520547945204,1.2328767123287672,1.2328767123287672,0.0,0.0,0.0,1.2328767123287672,7
Nazariy Rusyn,15.0,ua UKR,FW,25-339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.294117647058823,10.588235294117647,264.7058823529412,0.0,15.882352941176471,5.294117647058823,0.0,0.0,0.0,5.294117647058823,0.0,7
Romaine Mundle,14.0,eng ENG,LW,21-157,0.0,0.0,0.0,0.0,1.0714285714285714,1.0714285714285714,0.0,0.0,51.42857142857142,0.0,1.0714285714285714,1.0714285714285714,0.0,0.0,0.10714285714285715,6.428571428571428,0.0,31.07142857142857,37.5,88.82142857142857,6.428571428571428,38.57142857142857,6.428571428571428,8.571428571428571,5.357142857142857,0.0,1.0714285714285714,4.285714285714286,7
Tom Watson,40.0,eng ENG,LW,18-173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,15.0,0.0,0.0,0.0,0.0,30.0,0.0,45.0,75.0,900.0,15.0,45.0,15.0,15.0,15.0,0.0,0.0,0.0,7
Patrick Roberts,10.0,eng ENG,RW,27-236,0.0,1.2328767123287672,0.0,0.0,2.4657534246575343,0.0,0.0,0.0,70.27397260273973,1.2328767123287672,0.0,0.0,0.24657534246575344,0.24657534246575344,0.24657534246575344,4.931506849315069,1.2328767123287672,50.54794520547945,61.64383561643835,101.0958904109589,8.63013698630137,35.75342465753425,7.397260273972602,0.0,0.0,0.0,1.2328767123287672,0.0,7
Ian Poveda,36.0,eng ENG,RW,24-232,0.0,0.0,0.0,0.0,5.294117647058823,0.0,0.0,0.0,52.94117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.47058823529412,31.764705882352942,440.99999999999994,0.0,31.764705882352942,5.294117647058823,5.294117647058823,0.0,0.0,0.0,0.0,7
Jobe Bellingham,7.0,eng ENG,LM,19-005,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,43.0,1.0,1.0,2.0,0.1,0.1,0.1,3.0,0.0,28.0,34.0,82.4,4.0,24.0,1.0,0.0,0.0,0.0,1.0,1.0,7
Daniel Neil,4.0,eng ENG,CM,23-063,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,41.0,78.0,5.0,12.999999999999998,0.0,0.0,0.0,0.0,3.0,1.0,7
Chris Rigg,11.0,eng ENG,RM,17-102,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,46.0,2.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,27.0,36.0,75.0,3.0,24.0,2.0,0.0,0.0,0.0,1.0,1.0,7
Dennis Cirkin,3.0,eng ENG,LB,22-175,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,56.0,5.0,1.0,1.0,0.0,0.0,0.3,5.0,0.0,32.0,40.0,80.0,3.0,27.0,2.0,3.0,1.0,0.0,1.0,1.0,7
Luke O'Nien,13.0,eng ENG,CB,29-312,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,67.0,1.0,3.0,1.0,0.1,0.1,0.0,3.0,0.0,51.99999999999999,59.0,88.1,7.0,34.0,3.0,1.0,1.0,0.0,1.0,0.0,7
Chris Mepham,26.0,wls WAL,CB,26-328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.99999999999999,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,47.0,50.0,94.0,6.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,7
Trai Hume,32.0,nir NIR,RB,22-194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,2.0,0.0,3.0,0.0,0.0,0.2,5.0,0.0,51.99999999999999,64.0,81.3,9.0,36.0,4.0,1.0,1.0,0.0,0.0,0.0,7
Anthony Patterson,1.0,eng ENG,GK,24-141,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,24.0,79.2,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,7
