Player,#,Nation,Pos,Age,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won,Matchday
Wilson Isidor,18.0,fr FRA,"FW,LW",24-060,1.0227272727272727,0,0,0,3.068181818181818,2.0454545454545454,1.0227272727272727,0,14.318181818181818,0.0,0,0.0,0.6136363636363636,0.6136363636363636,0.0,0.0,0,9.204545454545455,10.227272727272727,92.04545454545455,1.0227272727272727,11.25,1.0227272727272727,0.0,0.0,0,0.0,0.0,12
Tom Watson,40.0,eng ENG,LW,18-201,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,12
Romaine Mundle,14.0,eng ENG,LW,21-185,0.0,0,0,0,1.168831168831169,0.0,0.0,0,51.42857142857142,1.168831168831169,0,3.5064935064935066,0.0,0.0,0.11688311688311688,2.337662337662338,0,24.545454545454543,35.064935064935064,81.81818181818181,1.168831168831169,37.40259740259741,4.675324675324676,3.5064935064935066,1.168831168831169,0,1.168831168831169,1.168831168831169,12
Aaron Connolly,24.0,ie IRL,"FW,LW",24-272,0.0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,12
Patrick Roberts,10.0,eng ENG,RW,27-264,0.0,0,0,0,5.0,2.0,0.0,0,67.0,1.0,0,0.0,0.2,0.2,0.2,7.0,1,46.0,58.00000000000001,79.3,4.0,45.0,3.0,6.0,4.0,0,1.0,2.0,12
Jobe Bellingham,7.0,eng ENG,LM,19-033,1.0,0,0,0,2.0,1.0,0.0,0,55.00000000000001,2.0,1,2.0,0.1,0.1,0.2,4.0,0,40.0,43.0,93.00000000000001,8.0,34.0,0.0,3.0,2.0,0,2.0,0.0,12
Daniel Neil,4.0,eng ENG,CM,23-091,0.0,1,0,0,0.0,0.0,0.0,0,77.0,0.0,0,0.0,0.0,0.0,0.3,1.0,1,70.0,76.0,92.1,7.0,56.0,2.0,2.0,1.0,0,0.0,0.0,12
Chris Rigg,11.0,eng ENG,RM,17-130,0.0,0,0,0,2.337662337662338,1.168831168831169,0.0,0,70.12987012987013,2.337662337662338,0,1.168831168831169,0.35064935064935066,0.35064935064935066,0.11688311688311688,3.5064935064935066,0,46.75324675324675,57.27272727272727,95.37662337662337,3.5064935064935066,46.75324675324675,2.337662337662338,3.5064935064935066,1.168831168831169,0,0.0,1.168831168831169,12
Alan Browne,8.0,ie IRL,RM,29-194,0.0,0,0,0,0.0,0.0,0.0,0,14.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0,9.0,10.0,90.0,0.0,5.0,0.0,0.0,0.0,0,1.0,0.0,12
Dennis Cirkin,3.0,eng ENG,LB,22-203,0.0,0,0,0,0.0,0.0,0.0,0,72.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0,55.00000000000001,67.0,82.1,5.0,40.0,2.0,0.0,0.0,0,2.0,1.0,12
Luke O'Nien,13.0,eng ENG,CB,29-340,0.0,0,0,0,0.0,0.0,0.0,0,108.0,1.0,2,0.0,0.0,0.0,0.0,1.0,0,95.0,102.0,93.09999999999998,6.0,77.0,1.0,0.0,0.0,0,0.0,2.0,12
Chris Mepham,26.0,wls WAL,CB,26-356,0.0,0,0,0,0.0,0.0,1.0227272727272727,0,97.1590909090909,3.068181818181818,0,0.0,0.0,0.0,0.0,0.0,0,84.88636363636364,92.04545454545455,94.29545454545456,7.159090909090909,76.70454545454545,1.0227272727272727,1.0227272727272727,1.0227272727272727,0,2.0454545454545454,0.0,12
Leo Fuhr Hjelde,33.0,no NOR,CB,21-061,0.0,0,0,0,0.0,0.0,0.0,0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,5.0,6.0,83.3,1.0,4.0,0.0,0.0,0.0,0,0.0,0.0,12
Trai Hume,32.0,nir NIR,RB,22-222,0.0,1,0,0,0.0,0.0,0.0,0,117.0,2.0,1,2.0,0.0,0.0,0.3,4.0,2,96.0,107.0,89.7,10.0,80.0,3.0,3.0,1.0,0,0.0,0.0,12
Simon Moore,21.0,eng ENG,GK,34-160,0.0,0,0,0,0.0,0.0,0.0,0,27.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,24.0,25.0,96.0,0.0,24.0,0.0,0.0,0.0,2,0.0,0.0,12
