Player,#,Nation,Pos,Age,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won,Matchday
Wilson Isidor,18.0,fr FRA,FW,24-054,1.2162162162162162,0,0,0,3.6486486486486487,2.4324324324324325,0.0,0,7.297297297297297,0.0,0,0.0,0.6081081081081081,0.6081081081081081,0.0,1.2162162162162162,1.2162162162162162,2.4324324324324325,2.4324324324324325,121.62162162162161,0.0,3.6486486486486487,1.2162162162162162,1.2162162162162162,1.2162162162162162,0,1.2162162162162162,1.2162162162162162,10
Aaron Connolly,24.0,ie IRL,FW,24-266,0.0,0,0,0,0.0,0.0,0.0,0,4.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,4.0,0.0,0.0,0.0,0,0.0,3.0,10
Romaine Mundle,14.0,eng ENG,LW,21-179,0.0,0,0,0,0.0,0.0,0.0,0,53.0,3.0,1,1.0,0.0,0.0,0.2,3.0,0.0,31.0,38.0,81.6,3.0,34.0,7.0,7.0,3.0,0,2.0,0.0,10
Patrick Roberts,10.0,eng ENG,RW,27-258,0.0,0,0,0,1.0714285714285714,0.0,1.0714285714285714,0,60.0,1.0714285714285714,0,1.0714285714285714,0.10714285714285715,0.10714285714285715,0.0,1.0714285714285714,0.0,34.285714285714285,49.28571428571429,74.57142857142857,5.357142857142857,35.357142857142854,7.5,2.142857142857143,0.0,0,2.142857142857143,0.0,10
Alan Browne,8.0,ie IRL,RM,29-188,0.0,0,0,0,0.0,0.0,0.0,0,6.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,10
Jobe Bellingham,7.0,eng ENG,LM,19-027,0.0,0,0,0,1.0,0.0,0.0,0,64.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,48.0,51.0,94.1,5.0,30.0,1.0,3.0,2.0,0,1.0,1.0,10
Daniel Neil,4.0,eng ENG,CM,23-085,0.0,1,0,0,0.0,0.0,0.0,0,71.0,2.0,3,0.0,0.0,0.0,0.4,3.0,1.0,59.0,62.99999999999999,93.7,5.0,37.0,1.0,0.0,0.0,0,0.0,0.0,10
Chris Rigg,11.0,eng ENG,"RM,RW",17-124,0.0,0,0,0,2.0,0.0,0.0,0,43.0,1.0,1,0.0,0.2,0.2,0.1,2.0,0.0,30.0,35.0,85.7,8.0,25.0,3.0,3.0,1.0,0,1.0,1.0,10
Dennis Cirkin,3.0,eng ENG,LB,22-197,0.0,0,0,0,1.0,0.0,0.0,0,61.0,7.0,2,0.0,0.0,0.0,0.0,0.0,0.0,36.0,48.0,75.0,5.0,24.0,3.0,2.0,0.0,0,0.0,1.0,10
Luke O'Nien,13.0,eng ENG,CB,29-334,0.0,0,0,0,0.0,0.0,0.0,0,86.0,3.0,1,1.0,0.0,0.0,0.0,1.0,0.0,68.0,72.0,94.4,9.0,43.0,3.0,1.0,1.0,0,0.0,1.0,10
Chris Mepham,26.0,wls WAL,CB,26-350,0.0,0,0,0,1.0,0.0,0.0,0,60.0,1.0,2,0.0,0.0,0.0,0.0,3.0,0.0,46.0,51.99999999999999,88.5,1.0,31.0,0.0,0.0,0.0,0,0.0,1.0,10
Trai Hume,32.0,nir NIR,RB,22-216,0.0,0,0,0,1.0,0.0,0.0,0,62.0,2.0,3,1.0,0.1,0.1,0.0,2.0,0.0,38.0,51.99999999999999,73.1,4.0,27.0,1.0,0.0,0.0,0,1.0,3.0,10
Anthony Patterson,1.0,eng ENG,GK,24-163,0.0,0,0,0,0.0,0.0,0.0,0,29.000000000000004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,28.0,85.7,0.0,12.0,0.0,0.0,0.0,1,0.0,0.0,10
