Player,#,Nation,Pos,Age,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won,Matchday
Wilson Isidor,18.0,fr FRA,FW,24-035,1.0714285714285714,0,0,0,3.214285714285714,1.0714285714285714,0,0,15.0,0,0,0.0,0.6428571428571428,0.6428571428571428,0.0,0.0,0,6.428571428571428,8.571428571428571,80.35714285714286,0.0,12.857142857142856,2.142857142857143,0.0,0.0,0,0.0,2.142857142857143,8
Nazariy Rusyn,15.0,ua UKR,FW,25-342,0.0,0,0,0,0.0,0.0,0,0,4.0,1,0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,8
Romaine Mundle,14.0,eng ENG,LW,21-160,0.0,0,0,0,3.0,1.0,0,0,42.0,2,0,2.0,0.1,0.1,0.0,3.0,1,25.0,28.0,89.3,5.0,23.0,8.0,4.0,1.0,0,1.0,2.0,8
Patrick Roberts,10.0,eng ENG,RW,27-239,0.0,0,0,0,0.0,0.0,0,0,33.28767123287671,0,0,1.2328767123287672,0.0,0.0,0.12328767123287672,2.4657534246575343,0,23.424657534246574,27.123287671232877,106.52054794520548,4.931506849315069,16.027397260273972,0.0,1.2328767123287672,0.0,0,0.0,0.0,8
Ian Poveda,36.0,eng ENG,RW,24-235,0.0,0,0,0,0.0,0.0,0,0,4.0,0,0,0.0,0.0,0.0,0.0,0.0,0,2.0,3.0,66.7,1.0,3.0,1.0,0.0,0.0,0,0.0,0.0,8
Tom Watson,40.0,eng ENG,RW,18-176,0.0,0,0,0,0.0,0.0,0,0,4.0,0,0,1.0,0.0,0.0,0.0,0.0,0,2.0,2.0,100.0,1.0,2.0,0.0,1.0,0.0,0,0.0,2.0,8
Jobe Bellingham,7.0,eng ENG,LM,19-008,1.0,0,0,0,2.0,1.0,0,0,40.0,3,1,1.0,0.1,0.1,0.0,1.0,0,22.0,24.0,91.7,3.0,18.0,1.0,0.0,0.0,0,1.0,1.0,8
Daniel Neil,4.0,eng ENG,CM,23-066,0.0,0,0,0,0.0,0.0,0,0,55.00000000000001,3,1,1.0,0.0,0.0,0.0,2.0,0,37.0,46.0,80.4,4.0,24.0,3.0,2.0,2.0,0,0.0,1.0,8
Chris Rigg,11.0,eng ENG,RM,17-105,0.0,0,0,0,0.0,0.0,0,0,22.191780821917806,0,0,0.0,0.0,0.0,0.12328767123287672,2.4657534246575343,0,16.027397260273972,19.726027397260275,100.23287671232876,2.4657534246575343,12.32876712328767,0.0,2.4657534246575343,2.4657534246575343,0,1.2328767123287672,1.2328767123287672,8
Alan Browne,8.0,ie IRL,RM,29-169,0.0,0,0,0,0.0,0.0,0,0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0,8.0,9.0,88.9,1.0,5.0,0.0,0.0,0.0,0,0.0,3.0,8
Dennis Cirkin,3.0,eng ENG,LB,22-178,0.0,0,0,0,0.0,0.0,1,0,70.0,7,4,1.0,0.0,0.0,0.1,1.0,0,32.0,47.0,68.1,2.0,24.0,3.0,2.0,1.0,0,2.0,4.0,8
Luke O'Nien,13.0,eng ENG,CB,29-315,0.0,0,0,0,0.0,0.0,0,0,68.0,0,0,1.0,0.0,0.0,0.0,2.0,0,56.0,62.99999999999999,88.9,4.0,29.000000000000004,1.0,0.0,0.0,0,1.0,1.0,8
Chris Mepham,26.0,wls WAL,CB,26-331,0.0,0,0,0,1.0,0.0,1,0,62.0,2,0,1.0,0.1,0.1,0.0,0.0,0,43.0,50.0,86.0,5.0,25.0,2.0,1.0,1.0,0,1.0,0.0,8
Trai Hume,32.0,nir NIR,RB,22-197,0.0,0,0,0,0.0,0.0,0,0,61.0,0,2,3.0,0.0,0.0,0.1,1.0,0,38.0,50.0,76.0,4.0,16.0,0.0,1.0,0.0,0,0.0,0.0,8
Anthony Patterson,1.0,eng ENG,GK,24-144,0.0,0,0,0,0.0,0.0,0,0,34.0,0,0,0.0,0.0,0.0,0.0,0.0,0,20.0,29.000000000000004,69.0,0.0,19.0,0.0,0.0,0.0,5,0.0,0.0,8
