Player,#,Nation,Pos,Age,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won,Matchday
Wilson Isidor,18.0,fr FRA,FW,24-057,0.0,0,0,0,0.0,0.0,0.0,0,19.09090909090909,1.3636363636363638,0,1.3636363636363638,0.0,0.0,0.0,1.3636363636363638,0.0,6.818181818181818,9.545454545454545,97.36363636363637,2.7272727272727275,9.545454545454545,0.0,0.0,0.0,0,1.3636363636363638,0.0,11
Aaron Connolly,24.0,ie IRL,FW,24-269,0.0,0,0,0,0.0,0.0,0.0,0,22.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,375.0,3.75,26.25,0.0,7.5,7.5,0,0.0,3.75,11
Romaine Mundle,14.0,eng ENG,LW,21-182,1.125,0,0,0,2.25,1.125,0.0,0,29.25,1.125,0,0.0,0.225,0.225,0.1125,4.5,0.0,9.0,16.875,59.9625,0.0,21.375,6.75,7.874999999999999,4.5,0,3.375,1.125,11
Patrick Roberts,10.0,eng ENG,RW,27-261,0.0,0,0,0,0.0,0.0,0.0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,3.0,0.0,1.0,1.0,0,0.0,0.0,11
Chris Rigg,11.0,eng ENG,"RW,LW",17-127,1.0112359550561798,0,0,0,1.0112359550561798,1.0112359550561798,1.0112359550561798,0,28.314606741573034,3.033707865168539,0,1.0112359550561798,0.20224719101123598,0.20224719101123598,0.10112359550561799,3.033707865168539,1.0112359550561798,12.134831460674157,16.179775280898877,75.84269662921348,3.033707865168539,19.213483146067414,1.0112359550561798,5.056179775280898,2.0224719101123596,0,2.0224719101123596,1.0112359550561798,11
Leo Fuhr Hjelde,33.0,no NOR,LW,21-058,0.0,0,0,0,0.0,0.0,0.0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,11
Jobe Bellingham,7.0,eng ENG,LM,19-030,0.0,0,0,0,1.0,0.0,1.0,0,39.0,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,83.3,0.0,23.0,0.0,2.0,2.0,0,0.0,3.0,11
Daniel Neil,4.0,eng ENG,CM,23-088,0.0,1,0,0,1.0,1.0,0.0,0,54.0,0.0,2,1.0,0.1,0.1,0.1,1.0,1.0,30.0,40.0,75.0,3.0,30.0,0.0,2.0,2.0,0,0.0,0.0,11
Alan Browne,8.0,ie IRL,RM,29-191,0.0,0,0,0,1.0,1.0,0.0,0,40.0,0.0,1,0.0,0.1,0.1,0.1,2.0,0.0,22.0,27.0,81.5,0.0,21.0,1.0,0.0,0.0,0,3.0,3.0,11
Dennis Cirkin,3.0,eng ENG,LB,22-200,0.0,0,0,0,2.0,1.0,0.0,0,59.0,1.0,0,2.0,0.0,0.0,0.0,3.0,0.0,32.0,48.0,66.7,2.0,31.0,1.0,1.0,1.0,0,2.0,2.0,11
Luke O'Nien,13.0,eng ENG,CB,29-337,0.0,0,0,0,0.0,0.0,1.0,0,68.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,44.0,57.0,77.2,4.0,38.0,0.0,0.0,0.0,0,0.0,1.0,11
Chris Mepham,26.0,wls WAL,CB,26-353,0.0,0,0,0,0.0,0.0,0.0,0,55.00000000000001,2.0,2,1.0,0.0,0.0,0.0,0.0,0.0,30.0,38.0,78.9,1.0,23.0,0.0,0.0,0.0,0,0.0,0.0,11
Trai Hume,32.0,nir NIR,RB,22-219,0.0,0,0,0,0.0,0.0,0.0,0,78.0,3.0,2,4.0,0.0,0.0,0.0,1.0,1.0,34.0,54.0,62.99999999999999,3.0,29.000000000000004,0.0,1.0,0.0,0,1.0,1.0,11
Anthony Patterson,1.0,eng ENG,GK,24-166,0.0,0,0,0,0.0,0.0,1.0,0,47.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.999999999999996,43.0,60.50000000000001,0.0,32.0,0.0,0.0,0.0,3,0.0,1.0,11
