Player,#,Nation,Pos,Age,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won,Matchday
Wilson Isidor,18.0,fr FRA,FW,24-091,0,0,0,0,2.0,1,0,0,15.0,1.0,0,0,0.1,0.1,0.2,1.0,0,7.0,10.0,70.0,0.0,6.0,0.0,0.0,0.0,0,1,0.0,17
Tom Watson,40.0,eng ENG,LW,18-232,0,0,0,0,4.029850746268656,0,0,0,55.07462686567164,1.3432835820895521,0,0,0.13432835820895522,0.13432835820895522,0.0,5.3731343283582085,0,24.17910447761194,37.61194029850746,86.3731343283582,1.3432835820895521,34.92537313432836,5.3731343283582085,4.029850746268656,2.6865671641791042,0,0,5.3731343283582085,17
Eliezer Mayenda,12.0,es ESP,LW,19-202,0,0,0,0,0.0,0,0,0,54.78260869565218,0.0,0,0,0.0,0.0,0.0,7.826086956521739,0,35.21739130434783,46.95652173913043,293.4782608695652,3.9130434782608696,39.130434782608695,3.9130434782608696,19.565217391304348,11.739130434782608,0,0,0.0,17
Patrick Roberts,10.0,eng ENG,RW,27-295,0,0,0,0,4.0,0,0,0,87.0,3.0,0,0,0.3,0.3,0.0,4.0,0,60.0,69.0,87.0,11.0,51.99999999999999,3.0,5.0,1.0,0,0,1.0,17
Chris Rigg,11.0,eng ENG,AM,17-161,0,0,0,0,3.0,0,0,0,66.0,3.0,0,1,0.3,0.3,0.1,3.0,0,39.0,48.99999999999999,79.6,3.0,41.0,1.0,5.0,2.0,0,1,0.0,17
Jobe Bellingham,7.0,eng ENG,DM,19-064,0,0,0,0,2.0,0,0,0,67.0,3.0,0,0,0.1,0.1,0.1,3.0,0,42.0,53.0,79.2,5.0,43.0,1.0,2.0,0.0,0,1,1.0,17
Daniel Neil,4.0,eng ENG,DM,23-122,0,0,0,0,0.0,0,0,0,65.0,2.0,1,1,0.0,0.0,0.0,7.0,0,51.0,60.0,85.0,9.0,40.0,0.0,0.0,0.0,0,2,0.0,17
Trai Hume,32.0,nir NIR,"LB,RB",22-253,0,0,0,0,1.0,0,0,0,78.0,0.0,2,0,0.0,0.0,0.2,2.0,0,64.0,74.0,86.5,11.0,47.0,5.0,0.0,0.0,0,1,0.0,17
Daniel Ballard,5.0,nir NIR,CB,25-065,0,0,0,0,3.0,1,0,0,76.0,2.0,2,0,0.0,0.0,0.0,0.0,0,56.0,65.0,86.2,7.0,45.0,0.0,0.0,0.0,0,3,0.0,17
Chris Mepham,26.0,wls WAL,CB,27-021,0,0,0,0,0.0,0,0,0,97.0,2.0,2,0,0.0,0.0,0.0,1.0,0,88.0,95.0,92.59999999999998,5.0,76.0,7.0,0.0,0.0,0,0,0.0,17
Luke O'Nien,13.0,eng ENG,RB,30-005,0,0,0,0,0.0,0,0,0,73.88059701492537,1.3432835820895521,0,0,0.0,0.0,0.13432835820895522,2.6865671641791042,0,57.76119402985074,71.19402985074626,108.94029850746269,8.059701492537313,41.64179104477612,1.3432835820895521,0.0,0.0,0,0,0.0,17
Ajibola Alese,42.0,eng ENG,LB,23-314,0,0,0,0,0.0,0,0,0,50.8695652173913,0.0,0,0,0.0,0.0,0.0,0.0,0,50.8695652173913,50.8695652173913,391.30434782608694,11.739130434782608,31.304347826086957,0.0,0.0,0.0,0,0,0.0,17
Anthony Patterson,1.0,eng ENG,GK,24-200,0,0,0,0,0.0,0,0,0,30.0,0.0,0,0,0.0,0.0,0.0,0.0,0,20.0,29.000000000000004,69.0,0.0,19.0,0.0,0.0,0.0,0,0,0.0,17
