Player,#,Nation,Pos,Age,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won,Matchday
Wilson Isidor,18.0,fr FRA,FW,24-038,0.0,0,0,0,2.0,0.0,0.0,0,12.0,0.0,0.0,0.0,0.3,0.3,0.2,1.0,0,4.0,7.0,57.1,0.0,9.0,1.0,2.0,0.0,0,1.0,2.0,9
Romaine Mundle,14.0,eng ENG,LW,21-163,0.0,0,0,0,1.0,1.0,0.0,0,48.0,2.0,1.0,2.0,0.0,0.0,0.1,4.0,0,24.0,31.0,77.4,5.0,29.000000000000004,8.0,9.0,3.0,0,1.0,2.0,9
Patrick Roberts,10.0,eng ENG,RW,27-242,0.0,0,0,0,2.168674698795181,1.0843373493975905,0.0,0,43.373493975903614,2.168674698795181,0.0,0.0,0.0,0.0,0.3253012048192771,5.421686746987952,0,20.602409638554217,31.44578313253012,71.02409638554218,6.506024096385542,33.614457831325296,3.253012048192771,8.674698795180724,4.337349397590362,0,0.0,2.168674698795181,9
Tom Watson,40.0,eng ENG,RW,18-179,0.0,0,0,0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0,100.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,9
Jobe Bellingham,7.0,eng ENG,LM,19-011,0.0,0,0,0,3.0,0.0,1.0,0,59.0,2.0,1.0,0.0,0.3,0.3,0.0,2.0,0,47.0,48.99999999999999,95.9,4.0,42.0,2.0,0.0,0.0,0,1.0,1.0,9
Daniel Neil,4.0,eng ENG,CM,23-069,0.0,0,0,0,2.0,0.0,1.0,0,50.0,1.0,2.0,2.0,0.0,0.0,0.1,3.0,0,32.0,39.0,82.1,5.0,34.0,2.0,2.0,0.0,0,1.0,1.0,9
Chris Rigg,11.0,eng ENG,RM,17-108,1.25,0,0,0,1.25,1.25,1.25,0,46.24999999999999,0.0,1.25,1.25,1.25,1.25,0.0,3.75,0,33.75,38.75,108.875,6.25,37.5,0.0,0.0,0.0,0,1.25,2.5,9
Alan Browne,8.0,ie IRL,RM,29-172,0.0,0,0,0,0.0,0.0,0.0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,9.0,77.8,1.0,8.0,0.0,0.0,0.0,0,1.0,0.0,9
Dennis Cirkin,3.0,eng ENG,LB,22-181,0.0,0,0,0,2.0,1.0,0.0,0,62.0,3.0,1.0,2.0,0.2,0.2,0.0,4.0,1,37.0,44.0,84.1,7.0,39.0,8.0,9.0,4.0,0,1.0,4.0,9
Luke O'Nien,13.0,eng ENG,CB,29-318,0.0,0,0,0,0.0,0.0,0.0,0,84.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,70.0,76.0,92.1,6.0,62.99999999999999,2.0,1.0,0.0,0,1.0,2.0,9
Chris Mepham,26.0,wls WAL,CB,26-334,0.0,0,0,0,0.0,0.0,0.0,0,87.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0,67.0,76.0,88.2,8.0,66.0,4.0,0.0,0.0,0,1.0,0.0,9
Trai Hume,32.0,nir NIR,RB,22-200,0.0,0,0,0,1.0,0.0,0.0,0,54.0,3.0,1.0,1.0,0.1,0.1,0.2,1.0,0,38.0,45.0,84.4,5.0,35.0,2.0,1.0,0.0,0,2.0,0.0,9
Anthony Patterson,1.0,eng ENG,GK,24-147,0.0,0,0,0,0.0,0.0,0.0,0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24.0,27.0,88.9,0.0,19.0,0.0,0.0,0.0,0,0.0,0.0,9
