Player,#,Nation,Pos,Age,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won,Matchday
Eliezer Mayenda,12.0,es ESP,FW,19-094,0.0,0,0,0,5.070422535211268,2.535211267605634,0,0,16.47887323943662,0.0,0,0.0,0.76056338028169,0.76056338028169,0.0,2.535211267605634,0.0,2.535211267605634,3.8028169014084505,84.54929577464789,0.0,11.408450704225352,2.535211267605634,2.535211267605634,0.0,0,1.267605633802817,0.0,1
Nazariy Rusyn,15.0,ua UKR,FW,25-290,0.0,0,0,0,0.0,0.0,0,0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,1
Jack Clarke,20.0,eng ENG,LW,23-261,1.0112359550561798,0,0,0,2.0224719101123596,1.0112359550561798,0,0,36.40449438202247,2.0224719101123596,0,0.0,0.10112359550561799,0.10112359550561799,0.20224719101123598,5.056179775280898,0.0,21.235955056179776,28.314606741573034,75.84269662921348,2.0224719101123596,23.258426966292138,5.056179775280898,3.033707865168539,2.0224719101123596,0,0.0,2.0224719101123596,1
Romaine Mundle,14.0,eng ENG,LW,21-108,0.0,0,0,0,0.0,0.0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,1
Patrick Roberts,10.0,eng ENG,RW,27-187,0.0,0,0,0,0.0,0.0,0,0,37.89473684210526,1.1842105263157894,0,1.1842105263157894,0.0,0.0,0.11842105263157894,3.552631578947368,1.1842105263157894,22.5,33.1578947368421,80.40789473684211,4.7368421052631575,24.868421052631582,3.552631578947368,1.1842105263157894,1.1842105263157894,0,0.0,0.0,1
Chris Rigg,11.0,eng ENG,RW,17-053,0.0,0,0,0,0.0,0.0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,6.0,83.3,1.0,3.0,1.0,1.0,1.0,0,0.0,0.0,1
Jobe Bellingham,7.0,eng ENG,AM,18-322,0.0,1,0,0,1.0,0.0,0,0,41.0,4.0,1,2.0,0.0,0.0,0.5,4.0,1.0,23.0,27.0,85.2,2.0,22.0,3.0,1.0,1.0,0,1.0,2.0,1
Daniel Neil,4.0,eng ENG,DM,23-014,0.0,0,0,0,0.0,0.0,0,0,43.0,3.0,2,0.0,0.0,0.0,0.0,1.0,0.0,24.0,28.0,85.7,5.0,25.0,0.0,3.0,0.0,0,2.0,2.0,1
Alan Browne,8.0,ie IRL,DM,29-117,0.0,0,0,0,1.0,0.0,0,0,37.0,1.0,0,0.0,0.1,0.1,0.1,1.0,0.0,22.0,28.0,78.6,2.0,25.0,1.0,1.0,0.0,0,0.0,1.0,1
Dennis Cirkin,3.0,eng ENG,LB,22-126,0.0,1,0,0,2.0,0.0,0,0,61.0,2.0,4,2.0,0.1,0.1,0.9,1.0,1.0,34.0,45.0,75.6,3.0,32.0,1.0,6.0,3.0,0,0.0,1.0,1
Ajibola Alese,42.0,eng ENG,CB,23-206,0.0,0,0,0,0.0,0.0,1,0,45.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,36.0,41.0,87.8,0.0,35.0,0.0,0.0,0.0,0,1.0,0.0,1
Luke O'Nien,13.0,eng ENG,CB,29-263,1.0,0,0,0,1.0,1.0,0,0,48.99999999999999,0.0,2,1.0,0.9,0.9,0.0,0.0,0.0,31.0,39.0,79.5,3.0,25.999999999999996,0.0,0.0,0.0,0,1.0,1.0,1
Trai Hume,32.0,nir NIR,RB,22-145,0.0,0,0,0,0.0,0.0,1,0,46.0,2.0,2,1.0,0.0,0.0,0.1,2.0,0.0,30.0,36.0,83.3,6.0,28.0,4.0,0.0,0.0,0,1.0,1.0,1
Anthony Patterson,1.0,eng ENG,GK,24-092,0.0,0,0,0,0.0,0.0,0,0,39.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,25.999999999999996,38.0,68.4,0.0,27.0,0.0,0.0,0.0,4,0.0,0.0,1
