Player,#,Nation,Pos,Age,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won,Matchday
Eliezer Mayenda,12.0,es ESP,FW,19-108,0.0,0.0,0.0,0.0,1.139240506329114,1.139240506329114,0.0,0.0,10.253164556962025,0.0,0.0,0.0,0.11392405063291139,0.11392405063291139,0.0,0.0,0.0,2.278481012658228,3.4177215189873418,75.98734177215191,0.0,6.8354430379746836,1.139240506329114,0.0,0.0,0.0,0.0,0.0,3
Nazariy Rusyn,15.0,ua UKR,FW,25-304,0.0,0.0,0.0,0.0,0.0,0.0,8.181818181818182,0.0,49.090909090909086,0.0,0.0,0.0,0.0,0.0,0.0,8.181818181818182,0.0,8.181818181818182,16.363636363636363,409.0909090909091,8.181818181818182,24.545454545454543,8.181818181818182,8.181818181818182,0.0,0.0,16.363636363636363,0.0,3
Romaine Mundle,14.0,eng ENG,LW,21-122,1.0112359550561798,0.0,0.0,0.0,5.056179775280898,1.0112359550561798,0.0,0.0,43.48314606741573,2.0224719101123596,0.0,2.0224719101123596,0.20224719101123598,0.20224719101123598,0.20224719101123598,4.044943820224719,0.0,20.224719101123593,26.29213483146067,77.76404494382022,4.044943820224719,24.269662921348313,6.067415730337078,4.044943820224719,2.0224719101123596,0.0,5.056179775280898,4.044943820224719,3
Nectarios Triantis,25.0,au AUS,LW,21-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Patrick Roberts,10.0,eng ENG,RW,27-201,0.0,1.0112359550561798,0.0,0.0,4.044943820224719,0.0,0.0,0.0,53.59550561797753,5.056179775280898,0.0,1.0112359550561798,0.20224719101123598,0.20224719101123598,0.10112359550561799,3.033707865168539,1.0112359550561798,31.348314606741575,42.47191011235955,74.62921348314606,8.089887640449438,28.314606741573034,6.067415730337078,3.033707865168539,2.0224719101123596,0.0,0.0,5.056179775280898,3
Daniel Ballard,5.0,nir NIR,RW,24-337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Chris Rigg,11.0,eng ENG,AM,17-067,0.0,0.0,0.0,0.0,1.267605633802817,0.0,0.0,0.0,25.35211267605634,1.267605633802817,0.0,1.267605633802817,0.1267605633802817,0.1267605633802817,0.0,1.267605633802817,0.0,7.605633802816901,15.211267605633802,63.38028169014084,2.535211267605634,11.408450704225352,0.0,2.535211267605634,0.0,0.0,1.267605633802817,0.0,3
Alan Browne,8.0,ie IRL,AM,29-131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.84210526315789,0.0,0.0,0.0,0.0,0.0,0.47368421052631576,9.473684210526315,0.0,28.421052631578945,37.89473684210526,355.2631578947368,9.473684210526315,23.684210526315788,0.0,4.7368421052631575,0.0,0.0,0.0,4.7368421052631575,3
Jobe Bellingham,7.0,eng ENG,DM,18-336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,0.0,3.0,0.0,0.0,0.1,2.0,0.0,24.0,32.0,75.0,2.0,19.0,0.0,0.0,0.0,0.0,2.0,2.0,3
Daniel Neil,4.0,eng ENG,DM,23-028,0.0,0.0,0.0,0.0,1.0714285714285714,0.0,2.142857142857143,1.0714285714285714,37.5,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,1.0714285714285714,0.0,26.785714285714285,34.285714285714285,83.67857142857142,1.0714285714285714,20.357142857142858,0.0,0.0,0.0,0.0,1.0714285714285714,2.142857142857143,3
Dennis Cirkin,3.0,eng ENG,LB,22-140,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,54.0,1.0,2.0,1.0,0.1,0.1,0.0,3.0,0.0,32.0,45.0,71.1,5.0,22.0,3.0,2.0,2.0,0.0,1.0,3.0,3
Ajibola Alese,42.0,eng ENG,CB,23-220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,50.0,57.0,87.7,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Luke O'Nien,13.0,eng ENG,CB,29-277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,51.99999999999999,62.0,83.9,5.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,3
Trai Hume,32.0,nir NIR,RB,22-159,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,58.00000000000001,1.0,1.0,0.0,0.0,0.0,0.1,4.0,0.0,42.0,51.0,82.4,9.0,25.999999999999996,0.0,0.0,0.0,0.0,1.0,1.0,3
Anthony Patterson,1.0,eng ENG,GK,24-106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.000000000000004,40.0,72.5,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,3
