Player,#,Nation,Pos,Age,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won,Matchday
Wilson Isidor,18.0,fr FRA,"FW,AM",24-074,1,0.0,0,0,2.0,2,1,0,23.0,0.0,0,1,0.2,0.2,0.1,2.0,0.0,9.0,12.0,75.0,1.0,12.999999999999998,2.0,4.0,2,0,1.0,1.0,15
Chris Rigg,11.0,eng ENG,"FW,CM",17-144,0,0.0,0,0,1.0,1,0,0,51.99999999999999,0.0,0,0,0.1,0.1,0.0,3.0,0.0,30.0,42.0,71.4,3.0,41.0,1.0,2.0,0,0,0.0,4.0,15
Romaine Mundle,14.0,eng ENG,LM,21-199,0,2.4000000000000004,0,0,3.6,0,0,0,42.0,1.2000000000000002,0,0,0.12000000000000001,0.12000000000000001,0.24000000000000002,4.800000000000001,2.4000000000000004,25.200000000000003,30.0,100.80000000000001,0.0,30.0,3.6,3.6,0,0,1.2000000000000002,1.2000000000000002,15
Aaron Connolly,24.0,ie IRL,"FW,LM",24-286,0,0.0,0,0,1.0,1,0,0,2.0,0.0,0,0,0.2,0.2,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,15
Alan Browne,8.0,ie IRL,CM,29-208,0,0.0,0,0,0.0,0,0,0,46.153846153846146,2.3076923076923075,0,0,0.0,0.0,0.0,2.3076923076923075,1.1538461538461537,32.30769230769231,33.46153846153846,111.46153846153844,2.3076923076923075,24.23076923076923,1.1538461538461537,2.3076923076923075,0,0,1.1538461538461537,1.1538461538461537,15
Daniel Ballard,5.0,nir NIR,CB,25-048,0,0.0,0,0,0.0,0,0,0,12.0,2.0,0,1,0.0,0.0,0.0,1.0,0.0,9.0,11.0,81.8,0.0,9.0,0.0,0.0,0,0,0.0,1.0,15
Daniel Neil,4.0,eng ENG,CM,23-105,0,0.0,0,0,0.0,0,0,0,66.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0,45.0,59.0,76.3,4.0,39.0,0.0,2.0,1,0,0.0,0.0,15
Patrick Roberts,10.0,eng ENG,"RM,AM",27-278,0,0.0,0,0,1.0,0,1,0,46.0,1.0,0,0,0.0,0.0,0.0,2.0,0.0,28.0,34.0,82.4,4.0,31.0,3.0,6.0,1,0,0.0,2.0,15
Dennis Cirkin,3.0,eng ENG,"LB,WB",22-217,1,0.0,0,0,1.0,1,0,0,68.0,1.0,0,1,0.0,0.0,0.0,2.0,1.0,45.0,51.0,88.2,3.0,45.0,5.0,4.0,0,0,3.0,1.0,15
Luke O'Nien,13.0,eng ENG,CB,29-354,0,0.0,0,0,0.0,0,0,0,71.0,1.0,2,1,0.0,0.0,0.0,1.0,0.0,53.0,62.99999999999999,84.1,3.0,48.0,0.0,0.0,0,0,1.0,1.0,15
Chris Mepham,26.0,wls WAL,CB,27-004,0,0.0,0,0,0.0,0,0,0,70.0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,43.0,54.0,79.6,2.0,38.0,3.0,0.0,0,0,2.0,1.0,15
Trai Hume,32.0,nir NIR,"RB,WB",22-236,0,0.0,0,0,0.0,0,1,0,71.0,5.0,3,2,0.0,0.0,0.0,0.0,0.0,42.0,54.0,77.8,5.0,25.999999999999996,0.0,0.0,0,0,1.0,2.0,15
Simon Moore,21.0,eng ENG,GK,34-174,0,0.0,0,0,0.0,0,0,0,23.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,15.0,22.0,68.2,0.0,18.0,0.0,0.0,0,1,0.0,1.0,15
