Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won
Wilson Isidor,18.0,fr FRA,"FW,LW",24-060,88,1,0,0,0,3,2,1,0,14,0,0,0,0.6,0.6,0.0,0,0,9,10,90.0,1,11,1,0,0,0,0,0
Tom Watson,40.0,eng ENG,LW,18-201,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,0,0,1
Romaine Mundle,14.0,eng ENG,LW,21-185,77,0,0,0,0,1,0,0,0,44,1,0,3,0.0,0.0,0.1,2,0,21,30,70.0,1,32,4,3,1,0,1,1
Aaron Connolly,24.0,ie IRL,"FW,LW",24-272,13,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,2,0,1,0,0,0,0
Patrick Roberts,10.0,eng ENG,RW,27-264,90,0,0,0,0,5,2,0,0,67,1,0,0,0.2,0.2,0.2,7,1,46,58,79.3,4,44,3,6,4,0,1,2
Jobe Bellingham,7.0,eng ENG,LM,19-033,90,1,0,0,0,2,1,0,0,55,2,1,2,0.1,0.1,0.2,4,0,40,43,93.0,8,34,0,3,2,0,2,0
Daniel Neil,4.0,eng ENG,CM,23-091,90,0,1,0,0,0,0,0,0,77,0,0,0,0.0,0.0,0.3,1,1,70,76,92.1,7,56,2,2,1,0,0,0
Chris Rigg,11.0,eng ENG,RM,17-130,77,0,0,0,0,2,1,0,0,60,2,0,1,0.3,0.3,0.1,3,0,40,49,81.6,3,40,2,3,1,0,0,1
Alan Browne,8.0,ie IRL,RM,29-194,13,0,0,0,0,0,0,0,0,14,1,0,1,0.0,0.0,0.0,0,0,9,10,90.0,0,5,0,0,0,0,1,0
Dennis Cirkin,3.0,eng ENG,LB,22-203,90,0,0,0,0,0,0,0,0,72,2,1,0,0.0,0.0,0.0,0,0,55,67,82.1,5,40,2,0,0,0,2,1
Luke O'Nien,13.0,eng ENG,CB,29-340,90,0,0,0,0,0,0,0,0,108,1,2,0,0.0,0.0,0.0,1,0,95,102,93.1,6,77,1,0,0,0,0,2
Chris Mepham,26.0,wls WAL,CB,26-356,88,0,0,0,0,0,0,1,0,95,3,0,0,0.0,0.0,0.0,0,0,83,90,92.2,7,75,1,1,1,0,2,0
Leo Fuhr Hjelde,33.0,no NOR,CB,21-061,2,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,4,0,0,0,0,0,0
Trai Hume,32.0,nir NIR,RB,22-222,90,0,1,0,0,0,0,0,0,116,2,1,2,0.0,0.0,0.3,4,2,96,107,89.7,10,79,3,3,1,0,0,0
Simon Moore,21.0,eng ENG,GK,34-160,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,24,25,96.0,0,24,0,0,0,2,0,0
