Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won
Wilson Isidor,18.0,fr FRA,FW,24-057,66,0,0,0,0,0,0,0,0,14,1,0,1,0.0,0.0,0.0,1,0,5,7,71.4,2,7,0,0,0,0,1,0
Aaron Connolly,24.0,ie IRL,FW,24-269,24,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,7,0,2,2,0,0,1
Romaine Mundle,14.0,eng ENG,LW,21-182,80,1,0,0,0,2,1,0,0,26,1,0,0,0.2,0.2,0.1,4,0,8,15,53.3,0,19,6,7,4,0,3,1
Patrick Roberts,10.0,eng ENG,RW,27-261,10,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,3,0,1,1,0,0,0
Chris Rigg,11.0,eng ENG,"RW,LW",17-127,89,1,0,0,0,1,1,1,0,28,3,0,1,0.2,0.2,0.1,3,1,12,16,75.0,3,19,1,5,2,0,2,1
Leo Fuhr Hjelde,33.0,no NOR,LW,21-058,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,0,0,0
Jobe Bellingham,7.0,eng ENG,LM,19-030,90,0,0,0,0,1,0,1,0,39,2,0,1,0.0,0.0,0.0,0,0,20,24,83.3,0,23,0,2,2,0,0,3
Daniel Neil,4.0,eng ENG,CM,23-088,90,0,1,0,0,1,1,0,0,54,0,2,1,0.1,0.1,0.1,1,1,30,40,75.0,3,30,0,2,2,0,0,0
Alan Browne,8.0,ie IRL,RM,29-191,90,0,0,0,0,1,1,0,0,40,0,1,0,0.1,0.1,0.1,2,0,22,27,81.5,0,21,1,0,0,0,3,3
Dennis Cirkin,3.0,eng ENG,LB,22-200,90,0,0,0,0,2,1,0,0,59,1,0,2,0.0,0.0,0.0,3,0,32,48,66.7,2,31,1,1,1,0,2,2
Luke O'Nien,13.0,eng ENG,CB,29-337,90,0,0,0,0,0,0,1,0,68,0,2,1,0.0,0.0,0.0,0,0,44,57,77.2,4,38,0,0,0,0,0,1
Chris Mepham,26.0,wls WAL,CB,26-353,90,0,0,0,0,0,0,0,0,55,2,2,1,0.0,0.0,0.0,0,0,30,38,78.9,1,23,0,0,0,0,0,0
Trai Hume,32.0,nir NIR,RB,22-219,90,0,0,0,0,0,0,0,0,78,3,2,4,0.0,0.0,0.0,1,1,34,54,63.0,3,29,0,1,0,0,1,1
Anthony Patterson,1.0,eng ENG,GK,24-166,90,0,0,0,0,0,0,1,0,47,0,0,0,0.0,0.0,0.0,0,0,26,43,60.5,0,32,0,0,0,3,0,1
