Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won
Wilson Isidor,18.0,fr FRA,FW,24-054,74,1,0,0,0,3,2,0,0,6,0,0,0,0.5,0.5,0.0,1,1,2,2,100.0,0,3,1,1,1,0,1,1
Aaron Connolly,24.0,ie IRL,FW,24-266,16,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,4,0,0,0,0,0,3
Romaine Mundle,14.0,eng ENG,LW,21-179,90,0,0,0,0,0,0,0,0,53,3,1,1,0.0,0.0,0.2,3,0,31,38,81.6,3,34,7,7,3,0,2,0
Patrick Roberts,10.0,eng ENG,RW,27-258,84,0,0,0,0,1,0,1,0,56,1,0,1,0.1,0.1,0.0,1,0,32,46,69.6,5,33,7,2,0,0,2,0
Alan Browne,8.0,ie IRL,RM,29-188,6,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,1,0,0,0,0
Jobe Bellingham,7.0,eng ENG,LM,19-027,90,0,0,0,0,1,0,0,0,64,4,1,0,0.0,0.0,0.0,0,0,48,51,94.1,5,30,1,3,2,0,1,1
Daniel Neil,4.0,eng ENG,CM,23-085,90,0,1,0,0,0,0,0,0,71,2,3,0,0.0,0.0,0.4,3,1,59,63,93.7,5,37,1,0,0,0,0,0
Chris Rigg,11.0,eng ENG,"RM,RW",17-124,90,0,0,0,0,2,0,0,0,43,1,1,0,0.2,0.2,0.1,2,0,30,35,85.7,8,25,3,3,1,0,1,1
Dennis Cirkin,3.0,eng ENG,LB,22-197,90,0,0,0,0,1,0,0,0,61,7,2,0,0.0,0.0,0.0,0,0,36,48,75.0,5,24,3,2,0,0,0,1
Luke O'Nien,13.0,eng ENG,CB,29-334,90,0,0,0,0,0,0,0,0,86,3,1,1,0.0,0.0,0.0,1,0,68,72,94.4,9,43,3,1,1,0,0,1
Chris Mepham,26.0,wls WAL,CB,26-350,90,0,0,0,0,1,0,0,0,60,1,2,0,0.0,0.0,0.0,3,0,46,52,88.5,1,31,0,0,0,0,0,1
Trai Hume,32.0,nir NIR,RB,22-216,90,0,0,0,0,1,0,0,0,62,2,3,1,0.1,0.1,0.0,2,0,38,52,73.1,4,27,1,0,0,0,1,3
Anthony Patterson,1.0,eng ENG,GK,24-163,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,24,28,85.7,0,12,0,0,0,1,0,0
