Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won
Wilson Isidor,18.0,fr FRA,"FW,AM",24-074,90,1,0,0,0,2,2,1,0,23,0,0,1,0.2,0.2,0.1,2,0,9,12,75.0,1,13,2,4,2,0,1,1
Chris Rigg,11.0,eng ENG,"FW,CM",17-144,90,0,0,0,0,1,1,0,0,52,0,0,0,0.1,0.1,0.0,3,0,30,42,71.4,3,41,1,2,0,0,0,4
Romaine Mundle,14.0,eng ENG,LM,21-199,75,0,2,0,0,3,0,0,0,35,1,0,0,0.1,0.1,0.2,4,2,21,25,84.0,0,25,3,3,0,0,1,1
Aaron Connolly,24.0,ie IRL,"FW,LM",24-286,15,0,0,0,0,1,1,0,0,2,0,0,0,0.2,0.2,0.0,0,0,1,1,100.0,0,1,0,0,0,0,0,0
Alan Browne,8.0,ie IRL,CM,29-208,78,0,0,0,0,0,0,0,0,40,2,0,0,0.0,0.0,0.0,2,1,28,29,96.6,2,21,1,2,0,0,1,1
Daniel Ballard,5.0,nir NIR,CB,25-048,12,0,0,0,0,0,0,0,0,12,2,0,1,0.0,0.0,0.0,1,0,9,11,81.8,0,9,0,0,0,0,0,1
Daniel Neil,4.0,eng ENG,CM,23-105,90,0,0,0,0,0,0,0,0,66,2,1,0,0.0,0.0,0.0,0,0,45,59,76.3,4,39,0,2,1,0,0,0
Patrick Roberts,10.0,eng ENG,"RM,AM",27-278,90,0,0,0,0,1,0,1,0,46,1,0,0,0.0,0.0,0.0,2,0,28,34,82.4,4,31,3,6,1,0,0,2
Dennis Cirkin,3.0,eng ENG,"LB,WB",22-217,90,1,0,0,0,1,1,0,0,68,1,0,1,0.0,0.0,0.0,2,1,45,51,88.2,3,45,5,4,0,0,3,1
Luke O'Nien,13.0,eng ENG,CB,29-354,90,0,0,0,0,0,0,0,0,71,1,2,1,0.0,0.0,0.0,1,0,53,63,84.1,3,48,0,0,0,0,1,1
Chris Mepham,26.0,wls WAL,CB,27-004,90,0,0,0,0,0,0,0,0,70,0,1,3,0.0,0.0,0.0,0,0,43,54,79.6,2,38,3,0,0,0,2,1
Trai Hume,32.0,nir NIR,"RB,WB",22-236,90,0,0,0,0,0,0,1,0,71,5,3,2,0.0,0.0,0.0,0,0,42,54,77.8,5,26,0,0,0,0,1,2
Simon Moore,21.0,eng ENG,GK,34-174,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,15,22,68.2,0,18,0,0,0,1,0,1
