Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won
Wilson Isidor,18.0,fr FRA,FW,24-035,84,1,0,0,0,3,1,0,0,14,0,0,0,0.6,0.6,0.0,0,0,6,8,75.0,0,12,2,0,0,0,0,2
Nazariy Rusyn,15.0,ua UKR,FW,25-342,6,0,0,0,0,0,0,0,0,4,1,0,1,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,1,0,0,0,1
Romaine Mundle,14.0,eng ENG,LW,21-160,90,0,0,0,0,3,1,0,0,42,2,0,2,0.1,0.1,0.0,3,1,25,28,89.3,5,23,8,4,1,0,1,2
Patrick Roberts,10.0,eng ENG,RW,27-239,73,0,0,0,0,0,0,0,0,27,0,0,1,0.0,0.0,0.1,2,0,19,22,86.4,4,13,0,1,0,0,0,0
Ian Poveda,36.0,eng ENG,RW,24-235,11,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,3,1,0,0,0,0,0
Tom Watson,40.0,eng ENG,RW,18-176,6,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,1,2,0,1,0,0,0,2
Jobe Bellingham,7.0,eng ENG,LM,19-008,90,1,0,0,0,2,1,0,0,40,3,1,1,0.1,0.1,0.0,1,0,22,24,91.7,3,18,1,0,0,0,1,1
Daniel Neil,4.0,eng ENG,CM,23-066,90,0,0,0,0,0,0,0,0,55,3,1,1,0.0,0.0,0.0,2,0,37,46,80.4,4,24,3,2,2,0,0,1
Chris Rigg,11.0,eng ENG,RM,17-105,73,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.1,2,0,13,16,81.3,2,10,0,2,2,0,1,1
Alan Browne,8.0,ie IRL,RM,29-169,17,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,8,9,88.9,1,5,0,0,0,0,0,3
Dennis Cirkin,3.0,eng ENG,LB,22-178,90,0,0,0,0,0,0,1,0,70,7,4,1,0.0,0.0,0.1,1,0,32,47,68.1,2,24,3,2,1,0,2,4
Luke O'Nien,13.0,eng ENG,CB,29-315,90,0,0,0,0,0,0,0,0,68,0,0,1,0.0,0.0,0.0,2,0,56,63,88.9,4,29,1,0,0,0,1,1
Chris Mepham,26.0,wls WAL,CB,26-331,90,0,0,0,0,1,0,1,0,62,2,0,1,0.1,0.1,0.0,0,0,43,50,86.0,5,25,2,1,1,0,1,0
Trai Hume,32.0,nir NIR,RB,22-197,90,0,0,0,0,0,0,0,0,61,0,2,3,0.0,0.0,0.1,1,0,38,50,76.0,4,16,0,1,0,0,0,0
Anthony Patterson,1.0,eng ENG,GK,24-144,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,20,29,69.0,0,19,0,0,0,5,0,0
