Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won
Wilson Isidor,18.0,fr FRA,FW,24-032,73,1,0,0,0,3,1,0,0,15,0,0,0,0.4,0.4,0.0,1,0,7,10,70.0,0,12,1,1,0,0,0,1
Nazariy Rusyn,15.0,ua UKR,FW,25-339,17,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,3,1,0,0,0,1,0
Romaine Mundle,14.0,eng ENG,LW,21-157,84,0,0,0,0,1,1,0,0,48,0,1,1,0.0,0.0,0.1,6,0,29,35,82.9,6,36,6,8,5,0,1,4
Tom Watson,40.0,eng ENG,LW,18-173,6,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,0.0,2,0,3,5,60.0,1,3,1,1,1,0,0,0
Patrick Roberts,10.0,eng ENG,RW,27-236,73,0,1,0,0,2,0,0,0,57,1,0,0,0.2,0.2,0.2,4,1,41,50,82.0,7,29,6,0,0,0,1,0
Ian Poveda,36.0,eng ENG,RW,24-232,17,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,6,1,1,0,0,0,0
Jobe Bellingham,7.0,eng ENG,LM,19-005,90,0,0,0,0,2,1,1,0,43,1,1,2,0.1,0.1,0.1,3,0,28,34,82.4,4,24,1,0,0,0,1,1
Daniel Neil,4.0,eng ENG,CM,23-063,90,0,0,0,0,1,0,0,0,47,1,2,0,0.0,0.0,0.0,1,0,32,41,78.0,5,13,0,0,0,0,3,1
Chris Rigg,11.0,eng ENG,RM,17-102,90,0,0,0,0,3,0,0,0,46,2,0,1,0.1,0.1,0.0,1,0,27,36,75.0,3,24,2,0,0,0,1,1
Dennis Cirkin,3.0,eng ENG,LB,22-175,90,0,0,0,0,2,0,0,0,56,5,1,1,0.0,0.0,0.3,5,0,32,40,80.0,3,27,2,3,1,0,1,1
Luke O'Nien,13.0,eng ENG,CB,29-312,90,0,0,0,0,1,1,0,0,67,1,3,1,0.1,0.1,0.0,3,0,52,59,88.1,7,34,3,1,1,0,1,0
Chris Mepham,26.0,wls WAL,CB,26-328,90,0,0,0,0,0,0,0,0,63,2,2,2,0.0,0.0,0.0,1,1,47,50,94.0,6,32,0,0,0,0,1,0
Trai Hume,32.0,nir NIR,RB,22-194,90,0,0,0,0,0,0,0,0,73,2,0,3,0.0,0.0,0.2,5,0,52,64,81.3,9,36,4,1,1,0,0,0
Anthony Patterson,1.0,eng ENG,GK,24-141,90,0,0,0,0,1,1,0,0,28,0,0,0,0.0,0.0,0.0,0,0,19,24,79.2,0,11,0,0,0,3,0,0
