Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Saves,Fouls_Committed,Fouls_Won
Wilson Isidor,18.0,fr FRA,FW,24-038,90,0,0,0,0,2,0,0,0,12,0,0,0,0.3,0.3,0.2,1,0,4,7,57.1,0,9,1,2,0,0,1,2
Romaine Mundle,14.0,eng ENG,LW,21-163,90,0,0,0,0,1,1,0,0,48,2,1,2,0.0,0.0,0.1,4,0,24,31,77.4,5,29,8,9,3,0,1,2
Patrick Roberts,10.0,eng ENG,RW,27-242,83,0,0,0,0,2,1,0,0,40,2,0,0,0.0,0.0,0.3,5,0,19,29,65.5,6,31,3,8,4,0,0,2
Tom Watson,40.0,eng ENG,RW,18-179,7,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,0,0,0,0,0,0
Jobe Bellingham,7.0,eng ENG,LM,19-011,90,0,0,0,0,3,0,1,0,59,2,1,0,0.3,0.3,0.0,2,0,47,49,95.9,4,42,2,0,0,0,1,1
Daniel Neil,4.0,eng ENG,CM,23-069,90,0,0,0,0,2,0,1,0,50,1,2,2,0.0,0.0,0.1,3,0,32,39,82.1,5,34,2,2,0,0,1,1
Chris Rigg,11.0,eng ENG,RM,17-108,72,1,0,0,0,1,1,1,0,37,0,1,1,1.0,1.0,0.0,3,0,27,31,87.1,5,30,0,0,0,0,1,2
Alan Browne,8.0,ie IRL,RM,29-172,18,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,7,9,77.8,1,8,0,0,0,0,1,0
Dennis Cirkin,3.0,eng ENG,LB,22-181,90,0,0,0,0,2,1,0,0,62,3,1,2,0.2,0.2,0.0,4,1,37,44,84.1,7,39,8,9,4,0,1,4
Luke O'Nien,13.0,eng ENG,CB,29-318,90,0,0,0,0,0,0,0,0,84,0,1,1,0.0,0.0,0.0,1,0,70,76,92.1,6,63,2,1,0,0,1,2
Chris Mepham,26.0,wls WAL,CB,26-334,90,0,0,0,0,0,0,0,0,87,1,2,2,0.0,0.0,0.0,0,0,67,76,88.2,8,66,4,0,0,0,1,0
Trai Hume,32.0,nir NIR,RB,22-200,90,0,0,0,0,1,0,0,0,54,3,1,1,0.1,0.1,0.2,1,0,38,45,84.4,5,35,2,1,0,0,2,0
Anthony Patterson,1.0,eng ENG,GK,24-147,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,24,27,88.9,0,19,0,0,0,0,0,0
